ticker,side,units,open_reason,close_reason,open_asof,close_asof,entry_price,exit_price,pnl
2411,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-05,2026-01-07,471.0,471.0,0.0
3861,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-07,2026-01-08,894.600037,894.600037,0.0
8714,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-09,2026-01-14,824.0,824.0,0.0
8714,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-10,2026-01-14,824.0,824.0,0.0
8714,LONG,5,A_ADD_ADD_TO_MAIN_OK,X_EXIT_GATE_NG,2026-01-11,2026-01-14,824.0,824.0,0.0
9432,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-19,2026-01-20,158.199997,158.199997,0.0
1655,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-20,2026-01-21,785.0,785.0,0.0
6958,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-23,2026-01-26,542.0,542.0,0.0
6958,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-24,2026-01-26,542.0,542.0,0.0
6958,LONG,5,A_ADD_ADD_TO_MAIN_OK,X_EXIT_GATE_NG,2026-01-25,2026-01-26,542.0,542.0,0.0
3861,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-27,2026-01-28,912.0,905.100037,-15131.498638
