factor,scope,n,avg_ret_3m,win_3m,diff_vs_base,recommended_points,note
pullback_base,daily,759279,0.0252540572909399,0.5263216814899399,0.0,1,minimum pullback condition
pullback_stack_ma5_ma20_ma60,daily,438936,0.0263701621840792,0.5274140193558969,0.0011161048931392,1,require MA stack
pullback_strong_stack_plus_slopes,daily,325102,0.0268569445277299,0.5280650380495967,0.0016028872367899,1,MA stack + positive slopes
mtf_weekly_monthly_stack_alignment,daily+weekly+monthly,221699,0.0357696611396856,0.561892475834352,0.0105156038487456,2,higher timeframe stack alignment (key)
mtf_weekly_monthly_strong_alignment,daily+weekly+monthly,176522,0.0363879242416639,0.5642922695188135,0.0111338669507239,2,higher timeframe strong alignment
60v_reclaim60,daily,18103,0.0226353175067648,0.5247196597249075,-0.0026827017126684,0,incremental effect inside pullback universe
60v_60v_core,daily,16518,0.0251225657794407,0.525426807119506,-0.0001344157048628,0,incremental effect inside pullback universe
60v_60v_strong,daily,1207,0.0178702245410034,0.5062137531068766,-0.0073955892666383,-1,incremental effect inside pullback universe
candlestick_shooting_star_like,daily_pullback,3259,0.0325528097559779,0.53053083768027,0.0073302154346466,1,incremental within daily pullback universe
candlestick_three_white_soldiers,daily_pullback,644,0.0301400320540769,0.562111801242236,0.0048901224332912,1,incremental within daily pullback universe
candlestick_bull_engulfing,daily_pullback,4659,0.0300842788534226,0.5372397510195321,0.0048600431975567,1,incremental within daily pullback universe
