pair,n_signal,coverage,precision_signal,precision_baseline,precision_lift,practical_score
three_gaps_down+sakata_gap_down,19,9.465686885041724e-05,0.7894736842105263,0.5696799103250716,0.21979377388545474,0.9580588487861265
doji+morning_star,94,0.00046830240378627474,0.6595744680851063,0.5696799103250716,0.08989455776003474,0.8715600738893384
doji+sakata_bullish,94,0.00046830240378627474,0.6595744680851063,0.5696799103250716,0.08989455776003474,0.8715600738893384
shooting_star_like+bull_engulfing,13,6.476522605554864e-05,0.7692307692307693,0.5696799103250716,0.19955085890569768,0.7194908538473728
morning_star+three_gaps_up,2,9.963880931622867e-06,1.0,0.5696799103250716,0.4303200896749284,0.6085645069798903
morning_star+sakata_gap_up,2,9.963880931622867e-06,1.0,0.5696799103250716,0.4303200896749284,0.6085645069798903
three_gaps_up+sakata_bullish,2,9.963880931622867e-06,1.0,0.5696799103250716,0.4303200896749284,0.6085645069798903
sakata_bullish+sakata_gap_up,2,9.963880931622867e-06,1.0,0.5696799103250716,0.4303200896749284,0.6085645069798903
hammer_like+morning_star,73,0.00036368165400423464,0.6301369863013698,0.5696799103250716,0.060457075976298236,0.5165454835724386
hammer_like+sakata_bullish,73,0.00036368165400423464,0.6301369863013698,0.5696799103250716,0.060457075976298236,0.5165454835724386
doji+three_gaps_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
doji+sakata_gap_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
hammer_like+three_gaps_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
hammer_like+sakata_gap_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
shooting_star_like+three_gaps_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
shooting_star_like+sakata_gap_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
bull_marubozu+three_gaps_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
