pair,quarter,n_both,diff_ret3,diff_win
bull_marubozu+sakata_bullish,2024Q4,22,0.013131463830131397,0.013314769785865543
bull_marubozu+sakata_bullish,2025Q1,27,0.011597392492829674,0.056808564221338675
bull_marubozu+sakata_bullish,2025Q2,47,-0.05363036460438299,-0.059593608961959976
bull_marubozu+sakata_bullish,2025Q3,52,-0.033172204222559246,0.005637175275842621
bull_marubozu+sakata_bullish,2025Q4,14,-0.022494948275819576,-0.08239310304923908
bull_marubozu+morning_star,2024Q4,21,0.013012788425625001,-0.008380705889602713
bull_marubozu+morning_star,2025Q1,26,0.009754845772665758,0.03823004904146232
bull_marubozu+morning_star,2025Q2,43,-0.049349784385296816,-0.0327100232227957
bull_marubozu+morning_star,2025Q3,43,-0.036229517065342956,-0.043727109972100275
bull_marubozu+morning_star,2025Q4,13,-0.03409853209209816,-0.10441229149469688
morning_star+sakata_bullish,2024Q4,97,-0.001464814488028137,-0.03771960601226976
morning_star+sakata_bullish,2025Q1,97,0.022601221729760944,0.09585393509590606
morning_star+sakata_bullish,2025Q2,114,-0.05356629346768414,-0.0933649001396224
morning_star+sakata_bullish,2025Q3,153,-0.026369541664481716,-0.03426104116590789
morning_star+sakata_bullish,2025Q4,51,0.016195342166160226,0.04717724674036117
doji+morning_star,2024Q4,7,-0.02147201840285971,-0.10367795228353
doji+morning_star,2025Q1,5,-0.026152827016692772,0.33830757255643285
doji+morning_star,2025Q2,6,-0.026573353427685728,-0.1799583775081478
doji+morning_star,2025Q3,2,-0.003806785570595446,0.35182299781863513
doji+morning_star,2025Q4,1,0.16555730412110042,0.20359523328620477
doji+sakata_bullish,2024Q4,7,-0.02147201840285971,-0.10367795228353
doji+sakata_bullish,2025Q1,5,-0.026152827016692772,0.33830757255643285
doji+sakata_bullish,2025Q2,6,-0.026573353427685728,-0.1799583775081478
doji+sakata_bullish,2025Q3,2,-0.003806785570595446,0.35182299781863513
doji+sakata_bullish,2025Q4,1,0.16555730412110042,0.20359523328620477
three_white_soldiers+sakata_bullish,2024Q4,10,-0.04225350581488781,-0.032205945713054684
three_white_soldiers+sakata_bullish,2025Q1,12,0.015369251130465276,0.12161510497811412
three_white_soldiers+sakata_bullish,2025Q2,9,-0.08680218971547651,-0.29125094927593154
three_white_soldiers+sakata_bullish,2025Q3,20,0.0186132362249799,0.20208300826962078
three_white_soldiers+sakata_bullish,2025Q4,4,-0.0365843828332717,-0.046483427647534326
bear_marubozu+bear_harami,2024Q4,6,0.060839916286287474,0.1345822566752799
bear_marubozu+bear_harami,2025Q1,9,-0.039910802578750466,-0.0174534307363321
bear_marubozu+bear_harami,2025Q2,3,-0.004187196529480353,0.15355628827131418
bear_marubozu+bear_harami,2025Q3,3,0.010547844556734222,0.018439163744968123
bear_marubozu+bear_harami,2025Q4,3,-0.016525340316266485,0.20367751060820372
three_black_crows+sakata_bearish,2024Q4,9,0.09177374569807516,0.3570633638485011
three_black_crows+sakata_bearish,2025Q1,17,0.043191987770425086,0.18552892708135477
three_black_crows+sakata_bearish,2025Q2,16,-0.03130935517269337,0.028555843849510598
three_black_crows+sakata_bearish,2025Q3,20,-0.006464492369120535,0.05184896239662973
three_black_crows+sakata_bearish,2025Q4,6,-0.05096008724596464,-0.463674349642809
doji+shooting_star_like,2024Q4,5,-0.012401880699433088,0.06786521692324254
doji+shooting_star_like,2025Q1,7,0.0003089285887563527,-0.033334922223811125
doji+shooting_star_like,2025Q2,4,-0.052518968381418826,0.1535743728653869
doji+shooting_star_like,2025Q3,13,-0.00757727067553373,-0.1098815414604889
doji+shooting_star_like,2025Q4,4,-0.0874324928990665,-0.046483427647534326
bull_engulfing+bull_harami,2024Q4,3,-0.07965749945811937,-0.5323431277580454
bull_engulfing+bull_harami,2025Q1,4,-0.04718151195786368,-0.21197464976651098
bull_engulfing+bull_harami,2025Q2,1,-0.07211837998759231,0.15352013185778202
bull_engulfing+bull_harami,2025Q3,7,-0.062170007702315,-0.21978021978021983
bull_engulfing+bull_harami,2025Q4,2,-0.12303914710075724,-0.2965656565656566
bear_engulfing+bear_harami,2024Q4,6,0.062010348889017526,0.4681309216192937
bear_engulfing+bear_harami,2025Q1,3,0.010907094218402767,0.20485454882342036
bear_engulfing+bear_harami,2025Q2,2,-0.0629693202372798,0.1535382079359473
bear_engulfing+bear_harami,2025Q3,4,-0.1056274798934756,-0.39835592956210064
bear_engulfing+bear_harami,2025Q4,1,-0.112225404348632,0.20359523328620477
