pattern,metric,day,count,share,cum_share
60v_core,days_to_high_break_60d,1,6277,0.37405398963113046,0.37405398963113046
60v_core,days_to_high_break_60d,2,2442,0.14552172099398128,0.5195757106251118
60v_core,days_to_high_break_60d,3,1472,0.08771825278588881,0.6072939634110006
60v_core,days_to_high_break_60d,4,921,0.05488349919551874,0.6621774626065193
60v_core,days_to_high_break_60d,5,699,0.04165425183242953,0.7038317144389489
60v_core,days_to_high_break_60d,6,494,0.0294380549430904,0.7332697693820392
60v_core,days_to_high_break_60d,7,414,0.024670758596031225,0.7579405279780704
60v_core,days_to_high_break_60d,8,369,0.02198915440081044,0.7799296823788808
60v_core,days_to_high_break_60d,9,299,0.017817770097133662,0.7977474524760145
60v_core,days_to_high_break_60d,10,253,0.015076574697574638,0.8128240271735891
60v_core,days_to_high_break_60d,11,247,0.0147190274715452,0.8275430546451343
60v_core,days_to_high_break_60d,12,222,0.013229247363089208,0.8407723020082235
60v_core,days_to_high_break_60d,13,166,0.009892139920147786,0.8506644419283713
60v_core,days_to_high_break_60d,14,173,0.010309278350515464,0.8609737202788867
60v_core,days_to_high_break_60d,15,143,0.008521542220368274,0.869495262499255
60v_core,days_to_high_break_60d,16,135,0.008044812585662356,0.8775400750849174
60v_core,days_to_high_break_60d,17,127,0.007568082950956439,0.8851081580358738
60v_core,days_to_high_break_60d,18,117,0.006972170907574042,0.8920803289434479
60v_core,days_to_high_break_60d,19,107,0.006376258864191645,0.8984565878076396
60v_core,days_to_high_break_60d,20,91,0.00542279959477981,0.9038793874024194
60v_core,days_to_high_break_60d,21,85,0.005065252368750372,0.9089446397711697
60v_core,days_to_high_break_60d,22,83,0.004946069960073893,0.9138907097312435
60v_core,days_to_high_break_60d,23,85,0.005065252368750372,0.9189559620999939
60v_core,days_to_high_break_60d,24,63,0.0037542458733090998,0.9227102079733029
60v_core,days_to_high_break_60d,25,73,0.0043501579166914965,0.9270603658899944
60v_core,days_to_high_break_60d,26,80,0.004767296347059174,0.9318276622370536
60v_core,days_to_high_break_60d,27,73,0.0043501579166914965,0.9361778201537451
60v_core,days_to_high_break_60d,28,60,0.0035754722602943803,0.9397532924140395
60v_core,days_to_high_break_60d,29,52,0.0030987426255884632,0.942852035039628
