months_to_breakout,count,share,cum_break_rate
1.0,8027,0.3311058862352019,0.3311058862352019
2.0,4948,0.2041001526213752,0.5352060388565771
3.0,3276,0.1351317906199727,0.6703378294765499
4.0,2102,0.0867054407457822,0.7570432702223321
5.0,1583,0.0652971991915192,0.8223404694138513
6.0,1135,0.0468176380810955,0.8691581074949468
7.0,772,0.0318442436992121,0.901002351194159
8.0,595,0.0245431670997813,0.9255455182939403
9.0,423,0.0174483356020294,0.9429938538959697
10.0,300,0.0123747061007301,0.9553685599966998
11.0,240,0.009899764880584,0.9652683248772838
12.0,197,0.0081260570061461,0.9733943818834299
13.0,130,0.0053623726436497,0.9787567545270796
14.0,97,0.0040011549725694,0.9827579094996489
15.0,85,0.0035061667285401,0.986264076228189
16.0,69,0.0028461824031679,0.9891102586313569
17.0,64,0.002639937301489,0.991750195932846
18.0,37,0.0015262137524233,0.9932764096852693
19.0,34,0.001402466691416,0.9946788763766853
20.0,20,0.0008249804067153,0.9955038567834006
21.0,37,0.0015262137524233,0.9970300705358239
22.0,23,0.0009487274677226,0.9979787980035465
23.0,24,0.0009899764880584,0.9989687744916049
24.0,25,0.0010312255083941,0.999999999999999
