side,daily_pattern,n,win_rate,avg_ret,med_ret,target_hit_rate,break_exit_rate,avg_ret_net_20bps
buy,shooting_star_like,979,0.5137895812053116,0.0138549610299208,0.0066629650194336,0.449438202247191,0.4504596527068437,0.0118549610299208
buy,bear_marubozu,2054,0.4712755598831548,0.0133189429654391,-0.0114343899197716,0.3972736124634858,0.49269717624148,0.0113189429654391
buy,normal,10864,0.5036818851251841,0.0116399825177763,0.0026350872807565,0.431701030927835,0.4598674521354933,0.0096399825177763
buy,hammer_like,1389,0.4946004319654428,0.0104718041164306,-0.0032948727392872,0.4326853851691865,0.4708423326133909,0.0084718041164306
buy,doji,2303,0.4602692140686061,0.0061866536887042,-0.0147540983606557,0.3947025618758141,0.5028224055579679,0.0041866536887042
buy,bull_marubozu,2547,0.4574008637612878,0.0004174293587027,-0.0157894736842105,0.408716136631331,0.4907734589713388,-0.0015825706412972
sell,hammer_like,1211,0.4450867052023121,-0.0037881025955717,-0.0227272727272727,0.3905862923203964,0.5169281585466556,-0.0057881025955717
sell,bull_marubozu,1929,0.4328667703473302,-0.0048555544469024,-0.02,0.3374805598755832,0.5344738206324521,-0.0068555544469024
sell,doji,2388,0.4401172529313233,-0.0086734090482015,-0.0208674725500906,0.3659966499162479,0.5309882747068677,-0.0106734090482015
sell,shooting_star_like,1225,0.430204081632653,-0.0101125078312961,-0.0245821042281219,0.3477551020408163,0.5281632653061225,-0.0121125078312961
sell,normal,11529,0.4116575591985428,-0.0112798901062744,-0.0279188072037283,0.3490328736230375,0.5526064706392575,-0.0132798901062744
sell,bear_marubozu,2973,0.4164143962327615,-0.0182059811610052,-0.0264187866927592,0.3528422468886646,0.5324587958291288,-0.0202059811610052
