dt,c_regime,c_box,c_inside,c_span,c_touch,c_not_break,all_pass,box_pct,ma20,ma60,l,c,box_low,box_high
2023-01-01,True,False,False,True,False,True,False,0.4132688320663442,2331.45,2433.0833333333335,1829.0,1990.0,1722.0,2619.0
2023-02-01,True,False,False,True,False,True,False,0.3666113350723263,2343.6,2410.0833333333335,1899.0,1945.0,1722.0,2495.0
2023-03-01,True,False,False,False,False,True,False,0.2848605577689243,2355.7,2388.9166666666665,1795.0,1930.0,1722.0,2294.0
2023-04-01,False,True,False,False,False,True,False,0.18273854720323968,2364.9,2356.133333333333,1815.0,1883.0,1795.0,2156.0
2023-05-01,False,False,False,False,True,True,False,0.3058823529411765,2351.2,2322.016666666667,1584.0,1593.0,1584.0,2156.0
2023-06-01,False,False,False,False,True,True,False,0.36403508771929827,2324.15,2279.4166666666665,1492.0,1519.0,1492.0,2156.0
2023-07-01,False,False,False,False,False,True,False,0.36403508771929827,2305.7,2253.516666666667,1507.0,1661.0,1492.0,2156.0
2023-08-01,False,False,False,False,True,True,False,0.3898448519040903,2278.75,2217.883333333333,1427.0,1592.0,1427.0,2118.0
2023-09-01,False,False,False,False,True,True,False,0.34065281899109795,2235.55,2170.75,1398.0,1402.0,1398.0,1972.0
2023-10-01,True,False,False,False,True,True,False,0.47078028077048645,2127.95,2138.4666666666667,1171.0,1228.0,1171.0,1892.0
2023-11-01,True,False,False,False,False,True,False,0.38427043808209727,1983.15,2103.7,1195.0,1234.0,1171.0,1728.0
2023-12-01,True,False,False,False,True,True,False,0.3916955017301038,1861.85,2079.516666666667,1162.0,1214.0,1162.0,1728.0
2024-01-01,True,False,False,False,True,True,False,0.40752351097178685,1793.7,2054.8333333333335,1143.0,1431.0,1143.0,1728.0
2024-02-01,True,False,False,False,False,True,False,0.40752351097178685,1742.05,2029.5833333333333,1301.0,1325.0,1143.0,1728.0
2024-03-01,True,False,False,False,False,True,False,0.32588795313072133,1686.3,2007.45,1304.0,1365.0,1143.0,1588.0
2024-04-01,True,False,False,False,False,True,False,0.32588795313072133,1629.9,1988.8333333333333,1248.0,1314.0,1143.0,1588.0
2024-05-01,True,False,False,False,False,True,False,0.32588795313072133,1585.7,1973.6333333333334,1230.0,1303.0,1143.0,1588.0
2024-06-01,True,False,False,False,False,True,False,0.32588795313072133,1557.5,1957.9,1254.0,1281.0,1143.0,1588.0
2024-07-01,True,False,False,False,True,True,False,0.22254545454545455,1523.2,1945.8166666666666,1222.0,1364.0,1222.0,1528.0
2024-08-01,True,False,False,False,True,True,False,0.24427480916030533,1498.4,1937.65,1150.0,1394.0,1150.0,1470.0
2024-09-01,True,False,False,False,False,True,False,0.24427480916030533,1467.8,1923.2666666666667,1278.0,1378.0,1150.0,1470.0
2024-10-01,True,False,False,False,False,True,False,0.24427480916030533,1439.05,1902.65,1331.0,1370.0,1150.0,1470.0
2024-11-01,True,False,False,False,False,True,False,0.24427480916030533,1413.0,1886.1166666666666,1317.0,1409.0,1150.0,1470.0
2024-12-01,True,False,False,False,False,True,False,0.2549317147192716,1391.55,1867.6166666666666,1388.0,1454.0,1150.0,1486.0
2025-01-01,True,False,False,False,False,True,False,0.30070188400443293,1389.2,1858.4333333333334,1437.0,1546.0,1150.0,1557.0
2025-02-01,True,False,False,True,False,False,False,0.41291524371313254,1410.4,1858.2333333333333,1477.0,1943.0,1278.0,1943.0
2025-03-01,True,False,False,True,False,True,False,0.38701775872627064,1412.8,1860.55,1702.0,1709.0,1317.0,1949.0
2025-04-01,True,False,True,True,False,True,False,0.38701775872627064,1419.65,1861.4166666666667,1438.0,1729.0,1317.0,1949.0
2025-05-01,True,False,True,True,False,True,False,0.3362301468384777,1436.8,1862.3333333333333,1537.0,1745.0,1388.0,1949.0
2025-06-01,True,False,True,True,False,True,False,0.3024217365623154,1462.9,1865.95,1615.0,1750.0,1437.0,1949.0
2025-07-01,True,False,True,True,False,True,False,0.30174195453203423,1493.9,1872.3333333333333,1695.0,1854.0,1438.0,1949.0
2025-08-01,True,False,True,True,False,False,False,0.3774330042313117,1538.35,1877.0,1815.0,2103.0,1438.0,2107.0
2025-09-01,True,False,False,True,False,False,False,0.3856300870053326,1566.4,1884.1166666666666,1984.0,1992.0,1438.0,2125.0
2025-10-01,True,False,False,True,False,False,False,0.3211359912616057,1602.6,1891.55,1884.0,2049.0,1537.0,2125.0
2025-11-01,True,False,False,True,False,False,False,0.45454545454545453,1660.85,1902.8833333333334,2061.0,2530.0,1615.0,2565.0
2025-12-01,True,False,False,True,False,False,False,0.413664014974263,1708.45,1903.4833333333333,2045.0,2266.0,1695.0,2579.0
2026-01-01,True,False,False,True,False,False,False,0.5228891149542217,1790.2,1916.5666666666666,2291.0,2938.0,1815.0,3100.0
