code,signal_dt,entry_dt,window,box_max_pct,box_low,box_high,box_pct,ma20_signal,ma60_signal,entry_price,hz3_box_break_hit,hz3_ma60_break_hit,hz3_ret_close,hz3_ret_best,hz3_ret_worst,hz3_ret_to_box_break,hz3_months_to_box_break,hz6_box_break_hit,hz6_ma60_break_hit,hz6_ret_close,hz6_ret_best,hz6_ret_worst,hz6_ret_to_box_break,hz6_months_to_box_break,hz12_box_break_hit,hz12_ma60_break_hit,hz12_ret_close,hz12_ret_best,hz12_ret_worst,hz12_ret_to_box_break,hz12_months_to_box_break
1001,2004-10-01,2004-11-01,6,0.2,10489.0,11988.0,0.1333807892512346,10358.2,12147.566666666668,10731.0,0,0,0.061131301835802815,0.07911657813810456,-0.003820706364737676,,,0,1,0.0258130649520082,0.11592582238374802,-0.003820706364737676,,,1,1,0.2679153853322151,0.28440965427266796,-0.003820706364737676,0.15674214891436025,10.0
1001,2005-04-01,2005-05-01,6,0.2,10690.0,11975.0,0.11339069049194794,11106.9,11362.4,10954.0,0,1,0.0862698557604528,0.08754792769764469,-0.015154281540989592,,,1,1,0.24210334124520724,0.25826182216541904,-0.015154281540989592,0.1331933540259266,4.0,1,1,0.5433631550118678,0.6033412452072302,-0.015154281540989592,0.1331933540259266,4.0
1001,2005-05-01,2005-06-01,6,0.2,10721.0,11975.0,0.11050405357772294,11159.75,11278.133333333333,11220.0,1,1,0.10632798573975044,0.12406417112299466,-0.006417112299465241,0.10632798573975044,3.0,1,1,0.3254901960784314,0.3380570409982175,-0.006417112299465241,0.10632798573975044,3.0,1,1,0.3785204991087344,0.5653297682709447,-0.006417112299465241,0.10632798573975044,3.0
1540,2016-11-01,2016-12-01,6,0.2,4085.0,4415.0,0.07764705882352942,4297.75,4298.083333333333,4190.0,0,1,0.046539379474940336,0.050119331742243436,-0.007159904534606206,,,1,1,0.045346062052505964,0.057279236276849645,-0.007159904534606206,0.031026252983293555,4.0,1,1,0.07517899761336516,0.0883054892601432,-0.007159904534606206,0.031026252983293555,4.0
1801,2022-11-01,2022-12-01,6,0.2,3810.0,4355.0,0.1334966319657073,3799.75,4253.583333333333,4165.0,1,1,0.06602641056422569,0.08523409363745499,-0.04801920768307323,0.07563025210084033,2.0,1,1,0.06482593037214886,0.16686674669867949,-0.04801920768307323,0.07563025210084033,2.0,1,1,0.20792316926770707,0.3553421368547419,-0.04801920768307323,0.07563025210084033,2.0
1812,2022-10-01,2022-11-01,6,0.2,1333.0,1585.0,0.17272104180945852,1440.5,1504.1,1407.0,1,1,0.13290689410092396,0.13930348258706468,-0.016346837242359632,0.10163468372423597,1.0,1,1,0.2757640369580668,0.28002842928216065,-0.016346837242359632,0.10163468372423597,1.0,1,1,0.7619047619047619,0.8603411513859275,-0.016346837242359632,0.10163468372423597,1.0
1833,2022-04-01,2022-05-01,6,0.2,2926.0,3430.0,0.15859030837004406,2881.1,3273.1666666666665,3045.0,0,0,-0.029885057471264367,0.034482758620689655,-0.08801313628899836,,,0,0,-0.07651888341543514,0.034482758620689655,-0.09261083743842365,,,0,1,0.09359605911330049,0.12151067323481117,-0.09261083743842365,,
1833,2022-05-01,2022-06-01,6,0.2,2777.0,3325.0,0.17961324156014422,2891.2,3258.3333333333335,2842.0,0,0,0.03237156931738212,0.06790992258972554,0.0,,,0,0,0.033075299085151305,0.06790992258972554,-0.027797325826882477,,,1,1,0.34764250527797325,0.3793103448275862,-0.027797325826882477,0.10133708655876143,10.0
1861,2021-11-01,2021-12-01,6,0.2,657.0,753.75,0.1371610845295056,672.8875,769.0875,657.0,1,0,0.09779299847792998,0.15296803652968036,0.0,0.10882800608828005,2.0,1,0,0.0,0.15296803652968036,-0.00532724505327245,0.10882800608828005,2.0,1,0,-0.033866057838660577,0.15296803652968036,-0.0745814307458143,0.10882800608828005,2.0
1861,2022-04-01,2022-05-01,6,0.2,653.5,757.5,0.147413182140326,690.1375,764.4083333333333,679.0,0,0,0.041237113402061855,0.06001472754050074,-0.03608247422680412,,,0,0,-0.0743740795287187,0.06001472754050074,-0.09278350515463918,,,0,0,0.0625920471281296,0.08100147275405008,-0.10456553755522828,,
1861,2022-05-01,2022-06-01,6,0.2,653.5,757.5,0.147413182140326,689.1,761.025,662.25,0,0,0.006795016987542469,0.08682521706304266,-0.01812004530011325,,,0,0,-0.041525103812759534,0.08682521706304266,-0.08191770479426198,,,1,1,0.13061532653831634,0.18724046810117026,-0.08191770479426198,0.13061532653831634,12.0
1925,2022-05-01,2022-06-01,6,0.2,2946.0,3477.0,0.16534329752452126,3242.6,3394.2166666666667,3149.0,0,0,-0.00412829469672912,0.054302953318513814,-0.055890758971101934,,,0,0,0.0031756113051762463,0.054302953318513814,-0.07669101302000635,,,1,1,0.15655763734518896,0.15655763734518896,-0.07669101302000635,0.15655763734518896,12.0
2002,2002-11-01,2002-12-01,6,0.2,573.253234863281,690.458374023438,0.18549349129333412,639.9324462890626,675.532253011068,599.549255371094,0,0,0.06390980773214777,0.08020052906363305,-0.08521304304228344,,,0,0,0.05639103676416989,0.10776945774795171,-0.08521304304228344,,,1,1,0.10526320075862575,0.21553891549590343,-0.08521304304228344,0.06892232171079817,7.0
