direction,code,signal_month_text,signal_date_text,entry_month_text,entry_price,tp_price,exit_price,exit_rule,ret_net_assumed,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
down,1898,2001-09,2001-09-28,2001-10,680.0,544.0,600.0,month_close,0.1176470588235294,0.5905694999407451,0.3388079181370206,0.0857643155797789,0.32,0.3,0.08,20260214053343_m1
down,1929,2001-09,2001-09-28,2001-10,1556.0,1244.8000000000002,1524.0,month_close,0.0205655526992287,0.5063954462174269,0.3505435640468842,0.0864684543343707,0.32,0.3,0.08,20260214053343_m1
down,2811,2001-09,2001-09-28,2001-10,1244.0,995.2,1170.0,month_close,0.0594855305466238,0.3393901119796003,0.3250209230454177,0.0849370958742827,0.32,0.3,0.08,20260214053343_m1
down,3401,2001-09,2001-09-28,2001-10,2570.0,2056.0,2425.0,month_close,0.056420233463035,0.4064560657383912,0.3357740403162164,0.0855822829105306,0.32,0.3,0.08,20260214053343_m1
down,5101,2001-09,2001-09-28,2001-10,638.0,510.4,546.0,month_close,0.1442006269592476,0.3814231433564948,0.3609737374545819,0.0870942647388326,0.32,0.3,0.08,20260214053343_m1
down,5445,2001-09,2001-09-28,2001-10,785.0,628.0,1110.0,month_close,-0.4140127388535032,0.5587324690222211,0.3991036358125504,0.0893820586403107,0.32,0.3,0.08,20260214053343_m1
down,8358,2001-09,2001-09-28,2001-10,899.0,719.2,850.0,month_close,0.0545050055617352,0.4185982699524248,0.390932301818997,0.0888917786006975,0.32,0.3,0.08,20260214053343_m1
up,1808,2001-09,2001-09-28,2001-10,725.0,870.0,870.0,tp20,0.1999999999999999,0.4451403243524123,0.3433631706419311,0.1486173045384503,0.15,0.3,0.14,20260214053343_m1
up,1861,2001-09,2001-09-28,2001-10,387.5,465.0,350.0,month_close,-0.0967741935483871,0.3355616260870833,0.3002667571858421,0.146031519731085,0.15,0.3,0.14,20260214053343_m1
up,4004,2001-09,2001-09-28,2001-10,1210.0,1452.0,1452.0,tp20,0.1999999999999999,0.351886663866005,0.3060800638831134,0.1463803181329213,0.15,0.3,0.14,20260214053343_m1
up,4293,2001-09,2001-09-28,2001-10,23.0833339691162,27.70000076293944,27.70000076293944,tp20,0.1999999999999999,0.5157958607533655,0.3224438111503822,0.1473621429689574,0.15,0.3,0.14,20260214053343_m1
up,4776,2001-09,2001-09-28,2001-10,153.333343505859,184.0000122070308,184.0000122070308,tp20,0.1999999999999999,0.5161084504049352,0.3026047782645442,0.1461718009958071,0.15,0.3,0.14,20260214053343_m1
up,4784,2001-09,2001-09-28,2001-10,192.0,230.4,206.0,month_close,0.0729166666666667,0.6789661655927828,0.5151270649866965,0.1589231381991362,0.15,0.3,0.14,20260214053343_m1
up,5285,2001-09,2001-09-28,2001-10,143.0,171.6,136.0,month_close,-0.0489510489510489,0.469752497282321,0.3721489381127931,0.150344450586702,0.15,0.3,0.14,20260214053343_m1
up,5541,2001-09,2001-09-28,2001-10,870.0,1044.0,1044.0,tp20,0.1999999999999999,0.3874175076194767,0.3066736483755766,0.1464159332024691,0.15,0.3,0.14,20260214053343_m1
up,5631,2001-09,2001-09-28,2001-10,770.0,924.0,775.0,month_close,0.0064935064935065,0.4555427170309766,0.3268905478729504,0.1476289471723115,0.15,0.3,0.14,20260214053343_m1
up,5727,2001-09,2001-09-28,2001-10,324.5,389.4,348.0,month_close,0.0724191063174113,0.4830479674049878,0.3444177936145656,0.1486805819168084,0.15,0.3,0.14,20260214053343_m1
up,6146,2001-09,2001-09-28,2001-10,1156.66674804688,1388.000097656256,1388.000097656256,tp20,0.1999999999999999,0.5975160732591347,0.5589575898371548,0.1615529696901637,0.15,0.3,0.14,20260214053343_m1
up,6315,2001-09,2001-09-28,2001-10,242.66667175293,291.200006103516,291.200006103516,tp20,0.1999999999999999,0.4103333151403412,0.3699551185378407,0.1502128214122049,0.15,0.3,0.14,20260214053343_m1
up,6324,2001-09,2001-09-28,2001-10,102.481491088867,122.9777893066404,113.59260559082,month_close,0.1084206951313577,0.5886031252969814,0.4055614402630988,0.1523492007157204,0.15,0.3,0.14,20260214053343_m1
up,6481,2001-09,2001-09-28,2001-10,1200.0,1440.0,1440.0,tp20,0.1999999999999999,0.3822596357470655,0.3404743900527859,0.1484439777031016,0.15,0.3,0.14,20260214053343_m1
up,6506,2001-09,2001-09-28,2001-10,320.0,384.0,384.0,tp20,0.1999999999999999,0.4990302446659912,0.4186377401668786,0.1531337787099472,0.15,0.3,0.14,20260214053343_m1
up,6703,2001-09,2001-09-28,2001-10,3170.0,3804.0,3804.0,tp20,0.1999999999999999,0.5088944443477749,0.3741601375607189,0.1504651225535776,0.15,0.3,0.14,20260214053343_m1
up,6857,2001-09,2001-09-28,2001-10,631.25,757.5,757.5,tp20,0.1999999999999999,0.4393597355495369,0.3862642835971828,0.1511913713157654,0.15,0.3,0.14,20260214053343_m1
up,6976,2001-09,2001-09-28,2001-10,1476.0,1771.2,1771.2,tp20,0.1999999999999999,0.5068322556409487,0.4472322795986749,0.154849451075855,0.15,0.3,0.14,20260214053343_m1
up,7012,2001-09,2001-09-28,2001-10,1250.0,1500.0,1260.0,month_close,0.008,0.5123809772377139,0.3927444404299143,0.1515801807257293,0.15,0.3,0.14,20260214053343_m1
up,7013,2001-09,2001-09-28,2001-10,344.285736083984,413.1428833007808,322.857147216797,month_close,-0.0622407106112573,0.5103645169032208,0.3678133273969369,0.1500843139437507,0.15,0.3,0.14,20260214053343_m1
up,7202,2001-09,2001-09-28,2001-10,248.0,297.6,234.0,month_close,-0.0564516129032257,0.5863315422587901,0.4552492672342855,0.1553304703339916,0.15,0.3,0.14,20260214053343_m1
up,7261,2001-09,2001-09-28,2001-10,800.0,960.0,960.0,tp20,0.1999999999999999,0.5713273330670608,0.5247920241711937,0.1595030357502061,0.15,0.3,0.14,20260214053343_m1
up,7282,2001-09,2001-09-28,2001-10,1200.0,1440.0,1440.0,tp20,0.1999999999999999,0.3644718797686021,0.3115238147218445,0.1467069431832451,0.15,0.3,0.14,20260214053343_m1
up,7532,2001-09,2001-09-28,2001-10,24.9583339691162,29.95000076293944,29.95000076293944,tp20,0.1999999999999999,0.4441416150463894,0.3328444118121721,0.1479861790086648,0.15,0.3,0.14,20260214053343_m1
up,7550,2001-09,2001-09-28,2001-10,182.375,218.85,179.625,month_close,-0.0150788211103495,0.5176716229525515,0.3165825132547336,0.1470104650952185,0.15,0.3,0.14,20260214053343_m1
up,7638,2001-09,2001-09-28,2001-10,20.2520236968994,24.30242843627928,19.8019790649414,month_close,-0.0222222054789963,0.6412414012493228,0.5548571844607517,0.1613069453675796,0.15,0.3,0.14,20260214053343_m1
