signal,slope_regime,n,win_rate_6m,avg_ret_6m,med_ret_6m
between,20up_60down,5668,0.5453422724064926,0.06421195845419735,0.02087615356980901
between,20down_60down,5036,0.5003971405877681,0.0498685062108467,0.0009381267562375309
between,mixed_flat,4199,0.5125029768992617,0.038301862037885374,0.004653567735263702
between,20down_60up,1069,0.46024321796071094,0.02369303222249512,-0.013617452889094137
between,20up_60up,745,0.5033557046979866,0.04303914338265892,0.001488095238095238
box_bottom,mixed_flat,173,0.5953757225433526,0.0350895953524793,0.02299854439592431
box_bottom,20up_60down,107,0.6728971962616822,0.04768354629480703,0.0258130649520082
box_bottom,20down_60down,33,0.5454545454545454,0.007593669099331208,0.019672131147540985
box_bottom,20up_60up,31,0.6129032258064516,0.0705841127754326,0.018060200668896322
box_bottom,20down_60up,19,0.6842105263157895,0.04309139311587029,0.03081232492997199
