direction,policy,ret_variant,cost_bps_roundtrip,n,month_median_picks,win_rate,avg_ret,median_ret,tp20_hit_rate,min_ret,q01_ret,q05_ret
down,current_gate,ret_sl10_cons,120.0,3450,10.0,0.5527536231884058,0.02873697822009589,0.040852525836109,0.3344927536231884,-0.112,-0.112,-0.112
down,top10_per_month,ret_sl10_cons,120.0,16516,55.0,0.49037297166384114,0.005494321004066408,-0.00376857539439025,0.18594090578832648,-0.112,-0.112,-0.112
down,top1_per_month,ret_sl10_cons,120.0,1784,6.0,0.554372197309417,0.03059800228339206,0.0443006398700449,0.3806053811659193,-0.112,-0.112,-0.112
down,top2_per_month,ret_sl10_cons,120.0,3424,11.0,0.5408878504672897,0.024774787919094335,0.031442664873613545,0.31863317757009346,-0.112,-0.112,-0.112
down,top3_per_month,ret_sl10_cons,120.0,5062,17.0,0.5219280916633742,0.018532039880715355,0.0157610197528461,0.2832872382457527,-0.112,-0.112,-0.112
down,top5_per_month,ret_sl10_cons,120.0,8338,28.0,0.5094746941712641,0.013183062286103569,0.0057698514793591005,0.24046533940993045,-0.112,-0.112,-0.112
up,current_gate,ret_base,40.0,2993,9.0,0.73103909121283,0.0882956025348601,0.1959999999999999,0.5081857667891747,-0.5441301518438177,-0.30582161711586553,-0.17480822895195808
up,top10_per_month,ret_base,40.0,16516,55.0,0.5914870428675224,0.03797717240390757,0.03732230091791895,0.2880842819084524,-0.6462182468694097,-0.2964470492859602,-0.19173323896538408
up,top1_per_month,ret_base,40.0,1784,6.0,0.7017937219730942,0.0789354148168363,0.18504277679359665,0.4977578475336323,-0.504,-0.3171666194441376,-0.19938189485139085
up,top2_per_month,ret_base,40.0,3424,11.0,0.666179906542056,0.0662671362052249,0.1126753972411385,0.4453855140186916,-0.6462182468694097,-0.32139450987665763,-0.2039999999999999
up,top3_per_month,ret_base,40.0,5062,17.0,0.6392730146187278,0.05747722362559078,0.07910810810810805,0.40221256420387197,-0.6462182468694097,-0.31469646807513807,-0.2040000217437735
up,top5_per_month,ret_base,40.0,8338,28.0,0.6188534420724394,0.05002034673270326,0.06030313597062279,0.3578795874310386,-0.6462182468694097,-0.30337288135593216,-0.19705864057539035
