group,horizon,n,win_rate,avg_ret,med_ret,avg_ret_net_20bps,avg_dd,ma60_break_rate
daily_base_pullback,1m,759279,0.5118342532850243,0.00778784394921564,0.0027247956403269754,0.00578784394921564,-0.06121591935744511,0.6253155954530548
daily_base_pullback,3m,759279,0.5263216814899399,0.025254057290939994,0.00906344410876133,0.023254057290939996,-0.10541021979791364,0.8934752574481843
daily_base_pullback,6m,747193,0.5422735491365684,0.05203419452791768,0.019916142557651992,0.05003419452791768,-0.14416412524566935,0.9843976054379524
daily_plus_weekly_stack,1m,406795,0.5191410907213707,0.009104496458547811,0.003968253968253968,0.007104496458547811,-0.06094815991224055,0.6054917095834511
daily_plus_weekly_stack,3m,406795,0.5391978760800895,0.03021030086757353,0.01297016861219196,0.028210300867573528,-0.10214935338059525,0.8859843410071412
daily_plus_weekly_stack,6m,398565,0.554388870071381,0.06072820765198072,0.025179856115107913,0.05872820765198072,-0.13639477479665352,0.9832122740330937
daily_plus_monthly_stack,1m,263577,0.5401192061522819,0.011676639854195607,0.007434944237918215,0.009676639854195607,-0.05803472889272528,0.5937505928058974
daily_plus_monthly_stack,3m,263577,0.5591383163174328,0.03446674485966071,0.019230769230769232,0.03246674485966071,-0.0977311161893582,0.8741885672877375
daily_plus_monthly_stack,6m,257127,0.5817125389399013,0.068340935623768,0.03888888888888889,0.066340935623768,-0.13255361651072556,0.9810754996558121
daily_plus_weekly_and_monthly_stack,1m,221699,0.5378644017338824,0.011567586502841726,0.00711997152011392,0.009567586502841726,-0.058766978409995535,0.5865655686313425
daily_plus_weekly_and_monthly_stack,3m,221699,0.561892475834352,0.03576966113968566,0.020054637867643662,0.03376966113968566,-0.09841539492576189,0.8725118291016197
daily_plus_weekly_and_monthly_stack,6m,215708,0.5817957609360802,0.06946736578702555,0.039325855873009394,0.06746736578702554,-0.1332024120273864,0.9813544235726074
daily_plus_weekly_and_monthly_strong,1m,176522,0.5397684141353486,0.012139563166401066,0.007537688442211055,0.010139563166401066,-0.05978878916334908,0.5800636747827467
daily_plus_weekly_and_monthly_strong,3m,176522,0.5642922695188135,0.036387924241663955,0.021459056900454444,0.03438792424166395,-0.09979114282826566,0.8713361507347526
daily_plus_weekly_and_monthly_strong,6m,171070,0.580358917402233,0.06741484998295046,0.04,0.06541484998295045,-0.1354217498678318,0.9824516279885427
daily_weekly_up_monthly_notup,1m,185096,0.4967152180490124,0.0061543268183075215,0.0,0.004154326818307521,-0.06356067319111323,0.628160522107447
daily_weekly_up_monthly_notup,3m,185096,0.5120153866101914,0.023551569112338484,0.004593664108109857,0.021551569112338485,-0.10662170748591417,0.9021210615032199
daily_weekly_up_monthly_notup,6m,182857,0.5220582203579847,0.0504190243940565,0.00983284169124877,0.0484190243940565,-0.1401606584556497,0.9854038948467928
