timeframe,feature,corr_with_ret_3m,n
daily,slope20_3,0.022080057343083916,758928
daily,slope60_3,0.04743515174379324,758928
daily,dist_close_ma20,0.021263990270659467,758928
daily,dist_close_ma60,0.0510786732270876,758928
daily,pb_depth_ma20,0.0036098817895926466,758928
daily,above20_streak,0.014354325266942908,758928
daily,upclose_streak,0.004227284584688146,758928
weekly,slope20_3,0.013435693652596493,102661
weekly,slope60_3,-0.006679535054297873,102661
weekly,dist_close_ma20,0.00777047165359951,102661
weekly,dist_close_ma60,0.010414364004294203,102661
weekly,pb_depth_ma20,-0.014759601479540738,102661
weekly,above20_streak,0.0032596539883010156,102661
weekly,upclose_streak,0.0028843322129897407,102661
monthly,slope20_3,0.007977739002860848,14802
monthly,slope60_3,-0.041650985804677944,14802
monthly,dist_close_ma20,0.03974978748215162,14802
monthly,dist_close_ma60,0.0072914385389826935,14802
monthly,pb_depth_ma20,-0.013240892663529201,14802
monthly,above20_streak,-0.006839724501486334,14802
monthly,upclose_streak,0.006985121380389188,14802
