cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
0,66185,0.3255722595754325,0.2695474805469517,0.181400619475712,0.007614802214298276,0.026280782953214014
1,6067,0.3777814405801879,0.2899291247733641,0.17949563210812594,0.0036118838450900615,0.020664771861410823
2,4555,0.37453347969264544,0.29198682766191,0.18529088913282107,0.003120604603958046,0.019200510619746355
3,3900,0.38,0.2958974358974359,0.1853846153846154,0.0026578715905477327,0.01888442944312504
4,3423,0.3710195734735612,0.28542214431784985,0.18463336254747298,0.0038055823175151037,0.018400884376621237
5,3081,0.3528075300227199,0.26777020447906524,0.18857513794222655,0.005985636725990777,0.01988008453432149
6,2773,0.3346556076451497,0.2711864406779661,0.18319509556437072,0.007647340310174038,0.02268856902404704
7,2609,0.3434266002299732,0.27405136067458796,0.18244538137217325,0.006966613418619295,0.02228417392073903
8,2435,0.34291581108829566,0.2718685831622177,0.18809034907597535,0.006816747076920011,0.022486127824538068
9,2290,0.32489082969432315,0.26724890829694326,0.18602620087336244,0.00724749130163886,0.02304360944704559
10,2187,0.32876085962505713,0.27434842249657065,0.18655692729766804,0.005949417569374163,0.02338569726125651
11,2089,0.3293441838200096,0.2790808999521302,0.17759693633317378,0.004983033432430912,0.023446797013118775
12,2005,0.32468827930174565,0.27830423940149623,0.17855361596009975,0.005041543950079542,0.02371341185545432
13,1937,0.32782653588022714,0.2834279814145586,0.1858544140423335,0.0036512065398372376,0.02444942836442646
14,1865,0.33351206434316355,0.27935656836461126,0.18123324396782842,0.0038422143269034674,0.02329955505846487
15,1792,0.3431919642857143,0.27957589285714285,0.18024553571428573,0.0006934149106460777,0.023176326343136117
16,1715,0.3457725947521866,0.26588921282798833,0.17259475218658893,0.0011591267168177832,0.02208214767210331
17,1653,0.35390199637023595,0.26860254083484575,0.16333938294010888,0.0006214613973278903,0.02150560783832497
18,1613,0.36949783013019216,0.27526348419094854,0.1754494730316181,0.0013760338907397346,0.02202379025365632
19,1579,0.3660544648511716,0.2824572514249525,0.181760607979734,0.0004070638138577148,0.021495485044581448
20,1523,0.3282994090610637,0.2449113591595535,0.16021011162179907,0.00421561895259997,0.025128738229228773
21,1474,0.3093622795115332,0.24898236092265943,0.1519674355495251,0.007345320721927971,0.02622636926679962
22,1405,0.3074733096085409,0.2313167259786477,0.15658362989323843,0.008762095402049159,0.02537473246916254
23,1379,0.3074691805656273,0.23930384336475707,0.154459753444525,0.008317720751526014,0.024587191445167408
24,1333,0.2873218304576144,0.21905476369092272,0.15453863465866466,0.010047438123181441,0.02441734763634566
25,1300,0.2846153846153846,0.23384615384615384,0.15307692307692308,0.012194167196594698,0.02456837168617933
26,1251,0.28936850519584334,0.23980815347721823,0.16466826538768986,0.010209874844750848,0.022609874690863032
27,1221,0.29238329238329236,0.2416052416052416,0.1638001638001638,0.008435866613520346,0.02216009234377044
28,1187,0.2737994945240101,0.22914911541701768,0.16259477674810446,0.009915720647283351,0.023134074277804076
29,1169,0.2891360136869119,0.2292557741659538,0.16253207869974337,0.007757222242966599,0.022534720566993807
30,1146,0.29930191972076786,0.23909249563699825,0.16841186736474695,0.005724953047218512,0.021543093083709414
31,1129,0.2967227635075288,0.2382639503985828,0.17271922054915856,0.00450391275822412,0.023153999493453082
32,1112,0.3129496402877698,0.24100719424460432,0.17535971223021582,0.0036261807711254683,0.023811007002932646
33,1088,0.3088235294117647,0.25275735294117646,0.18841911764705882,0.003233389307691303,0.023680581904311254
34,1061,0.30348727615457116,0.26861451460885954,0.19038642789820923,0.0021347409092739686,0.02634123993760167
35,1032,0.30426356589147285,0.27325581395348836,0.18604651162790697,0.001757348178341856,0.02639117372098032
36,1000,0.306,0.279,0.184,0.002014972606866321,0.025829603531991673
37,957,0.296760710553814,0.2497387669801463,0.16927899686520376,0.0022549518707007978,0.02565771186430965
38,925,0.31351351351351353,0.2691891891891892,0.1654054054054054,0.0022876407960722026,0.022365933683131067
39,905,0.3392265193370166,0.27624309392265195,0.16353591160220995,0.0028831327697945723,0.02397770139662536
40,880,0.32727272727272727,0.2806818181818182,0.16704545454545455,0.00483682345957738,0.02357387033199498
41,866,0.33371824480369516,0.26674364896073904,0.19399538106235567,0.006268276077437063,0.021325761092285293
42,832,0.3329326923076923,0.25721153846153844,0.20432692307692307,0.007794454531636118,0.019148680697315644
43,810,0.32592592592592595,0.2580246913580247,0.19876543209876543,0.007919319373733115,0.02579134852902851
44,779,0.2631578947368421,0.24390243902439024,0.20025673940949937,0.00783477474586831,0.027210398362444082
45,752,0.2898936170212766,0.24468085106382978,0.19547872340425532,0.007744027784957523,0.03266267614242083
46,720,0.2902777777777778,0.2375,0.18333333333333332,0.008894717181363098,0.03577404806270946
47,693,0.2813852813852814,0.23376623376623376,0.18037518037518038,0.009320757519157296,0.03904065162093821
48,671,0.27421758569299554,0.23099850968703428,0.17436661698956782,0.008481279817313291,0.04006617018175773
49,650,0.26461538461538464,0.24769230769230768,0.18307692307692308,0.010256085601335207,0.04184723828553805
50,638,0.2774294670846395,0.27586206896551724,0.1865203761755486,0.009597004958767814,0.04088286712297971
51,618,0.30097087378640774,0.284789644012945,0.18770226537216828,0.00691418672213146,0.03800131618562382
52,603,0.33665008291873966,0.2885572139303483,0.19402985074626866,0.005521715958999346,0.040243991620323744
53,581,0.3287435456110155,0.2891566265060241,0.19104991394148021,0.005016025589664162,0.04069243235974608
54,569,0.37258347978910367,0.3145869947275923,0.18101933216168717,0.003066238909756944,0.03977345185256292
55,564,0.3723404255319149,0.2854609929078014,0.18262411347517732,0.0011080518511816,0.04152241340214563
56,549,0.37522768670309653,0.29143897996357016,0.1785063752276867,-0.0006805689153864369,0.04442579705487486
57,528,0.35984848484848486,0.2689393939393939,0.16098484848484848,-0.0023897655629736753,0.049943785269103605
58,520,0.375,0.2846153846153846,0.16153846153846155,0.004881242306722658,0.05282109260227445
59,494,0.3522267206477733,0.2773279352226721,0.15587044534412955,0.005708196685658876,0.05382341020210137
60,477,0.3480083857442348,0.2662473794549266,0.1488469601677149,0.013636815573183348,0.05752955580616091
61,451,0.3348115299334812,0.24611973392461198,0.10864745011086474,0.016786066205492802,0.0574731718630833
62,415,0.327710843373494,0.19036144578313252,0.09397590361445783,0.018739396130807624,0.057549760468384205
63,407,0.3071253071253071,0.22113022113022113,0.09582309582309582,0.0177641421948602,0.056659239571327534
64,398,0.30904522613065327,0.21105527638190955,0.09296482412060302,0.0179353669725811,0.054203246853795975
65,388,0.27319587628865977,0.19329896907216496,0.09020618556701031,0.016312051066975437,0.05543971810370808
66,382,0.306282722513089,0.19633507853403143,0.07853403141361257,0.013639216796988539,0.05612697991296242
67,378,0.30158730158730157,0.21957671957671956,0.082010582010582,0.013179689034184306,0.054349298249357324
68,371,0.3261455525606469,0.22641509433962265,0.08355795148247978,0.009518726902712946,0.05812166919298919
69,359,0.34818941504178275,0.20055710306406685,0.07520891364902507,0.007772841460997982,0.05334758454125428
70,354,0.3107344632768362,0.19491525423728814,0.07344632768361582,0.009952314621948153,0.05229088092799456
71,348,0.31896551724137934,0.20977011494252873,0.08620689655172414,0.012821704928695133,0.05201882737815085
72,344,0.31976744186046513,0.19476744186046513,0.09302325581395349,0.012231039618687978,0.0473580730299141
73,341,0.2961876832844575,0.20234604105571846,0.08211143695014662,0.015275773015022975,0.049599104569134134
74,334,0.24550898203592814,0.15568862275449102,0.08083832335329341,0.016609532326732665,0.0483901907734363
75,330,0.23636363636363636,0.17272727272727273,0.0696969696969697,0.01637172732077314,0.046597262454126556
76,326,0.294478527607362,0.19938650306748465,0.09202453987730061,0.013436877133426004,0.04293076908127302
77,325,0.3230769230769231,0.19692307692307692,0.10153846153846154,0.013887619515831518,0.04013961432299877
78,319,0.3072100313479624,0.22884012539184953,0.10658307210031348,0.015497766358500423,0.03418061345105804
79,312,0.3173076923076923,0.23397435897435898,0.09294871794871795,0.013908802549711035,0.030277930740026823
80,308,0.2922077922077922,0.237012987012987,0.11363636363636363,0.01362001199245914,0.023723465777323198
81,302,0.2847682119205298,0.2185430463576159,0.1291390728476821,0.013006162876898602,0.019211116543814768
82,300,0.30333333333333334,0.21666666666666667,0.13333333333333333,0.01122836125270321,0.015618161525889495
83,295,0.3220338983050847,0.22372881355932203,0.14576271186440679,0.011647228367017698,0.01300903939779916
84,292,0.273972602739726,0.2191780821917808,0.13356164383561644,0.009134882563317435,0.013151327511539617
85,286,0.3146853146853147,0.24125874125874125,0.12937062937062938,0.00789484209562724,0.011757006957864342
86,282,0.2907801418439716,0.23404255319148937,0.12056737588652482,0.006225162355347583,0.010807143281948393
87,280,0.32142857142857145,0.23214285714285715,0.1357142857142857,0.005986719800416634,0.00965364778886178
88,273,0.32967032967032966,0.23809523809523808,0.12087912087912088,0.004446978860987962,0.00733641837118383
89,270,0.3111111111111111,0.25925925925925924,0.14444444444444443,0.004824444360298224,0.0069436930839763345
90,263,0.3726235741444867,0.27756653992395436,0.14068441064638784,0.002505471539193683,0.005910490102663275
91,261,0.3371647509578544,0.30268199233716475,0.1417624521072797,0.004326142988475522,0.007390890147538975
92,260,0.31153846153846154,0.29615384615384616,0.13846153846153847,0.0027752193270230885,0.010621175378128067
93,253,0.3201581027667984,0.30434782608695654,0.13043478260869565,0.0002256553846206812,0.005344980586112381
94,239,0.3514644351464435,0.3389121338912134,0.14644351464435146,-0.0015622595436347781,0.00475432276070417
95,234,0.38461538461538464,0.3333333333333333,0.14957264957264957,-0.0041136337292751795,0.007597616325529075
96,227,0.40969162995594716,0.29515418502202645,0.1277533039647577,-0.0054296349318574185,0.006936489197281406
97,224,0.39285714285714285,0.3080357142857143,0.12946428571428573,-0.00541030276574372,0.008101165240896695
98,220,0.37727272727272726,0.30454545454545456,0.12727272727272726,0.0013177643575222125,0.012514235079052187
99,213,0.40375586854460094,0.3004694835680751,0.15492957746478872,0.001800808841004731,0.011599521834075081
100,206,0.3106796116504854,0.27184466019417475,0.13106796116504854,0.003344711241726141,0.014092786950756702
101,200,0.305,0.26,0.135,0.0033735408826065655,0.015871465476170087
102,191,0.3089005235602094,0.2617801047120419,0.14136125654450263,0.0033624423095645764,0.022015080547173046
103,189,0.41798941798941797,0.2804232804232804,0.1111111111111111,-0.0011740098546840225,0.021236889742273585
104,186,0.41397849462365593,0.2903225806451613,0.12903225806451613,-0.0009991096716607066,0.023138452711528118
105,185,0.4540540540540541,0.31351351351351353,0.12432432432432433,-0.0004792769391158055,0.024569089160938324
106,178,0.42134831460674155,0.33707865168539325,0.10674157303370786,0.0022640050635342065,0.03324594564442881
107,174,0.41379310344827586,0.3103448275862069,0.1206896551724138,0.008309704699068854,0.036442042881368764
108,168,0.39880952380952384,0.2857142857142857,0.16071428571428573,0.00743603169125119,0.0379416599741874
109,162,0.30246913580246915,0.2716049382716049,0.12962962962962962,0.007250340074848612,0.04421721878253561
110,159,0.34591194968553457,0.3018867924528302,0.14465408805031446,0.009798462764040367,0.04481421070769656
111,153,0.39869281045751637,0.35294117647058826,0.1503267973856209,0.004960657307341509,0.041196871927531444
112,149,0.38926174496644295,0.35570469798657717,0.174496644295302,0.00197467243252585,0.04022258305144581
113,144,0.4166666666666667,0.3402777777777778,0.16666666666666666,0.005480673664797343,0.03958669387403345
114,142,0.4859154929577465,0.30985915492957744,0.14084507042253522,0.008800544339421235,0.04429061588072921
115,137,0.4233576642335766,0.3795620437956204,0.1386861313868613,0.004748290262153484,0.04534824002596631
116,130,0.4461538461538462,0.3,0.12307692307692308,0.006509602184833836,0.05610358297578953
117,124,0.3870967741935484,0.3064516129032258,0.0967741935483871,0.010543585403839454,0.06036650272283865
118,118,0.3644067796610169,0.288135593220339,0.1440677966101695,0.012590340127607295,0.058205344230539996
119,113,0.3893805309734513,0.3008849557522124,0.1504424778761062,0.012986038760889426,0.0605814289937878
120,110,0.39090909090909093,0.2818181818181818,0.11818181818181818,0.018594821947541692,0.06806615613189879
121,107,0.3177570093457944,0.2616822429906542,0.1308411214953271,0.02477278271135691,0.06946339696054987
122,105,0.3333333333333333,0.2571428571428571,0.13333333333333333,0.024341697650622576,0.06509127875295673
123,102,0.3627450980392157,0.23529411764705882,0.1568627450980392,0.019573711234090286,0.06494765597852485
124,98,0.32653061224489793,0.29591836734693877,0.12244897959183673,0.020538681395548878,0.06530253921415027
