cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret20
1,513,0.5672514619883041,0.48148148148148145,0.27485380116959063,0.0389782554270702
2,517,0.6441005802707931,0.528046421663443,0.3114119922630561,0.018212195512812036
3,519,0.5838150289017341,0.49903660886319845,0.31021194605009633,0.02378518764412226
4,526,0.5532319391634981,0.467680608365019,0.2889733840304182,0.02045993984265532
5,540,0.5148148148148148,0.42592592592592593,0.2777777777777778,0.02428567802758232
6,555,0.45045045045045046,0.38198198198198197,0.21441441441441442,0.032365802711333956
7,593,0.4856661045531197,0.3979763912310287,0.2630691399662732,0.02282121560022629
8,614,0.4739413680781759,0.3794788273615635,0.26547231270358307,0.02343366819097373
9,607,0.4546952224052718,0.3871499176276771,0.2685337726523888,0.02108851663418254
10,616,0.4512987012987013,0.3977272727272727,0.2662337662337662,0.025851689637489825
11,600,0.4583333333333333,0.39666666666666667,0.25666666666666665,0.024295701900792385
12,606,0.4752475247524752,0.40594059405940597,0.2623762376237624,0.020089559736205215
13,580,0.4672413793103448,0.42931034482758623,0.253448275862069,0.024237424224882637
14,593,0.4772344013490725,0.3962900505902192,0.24451939291736932,0.025021764317402148
15,573,0.47643979057591623,0.39267015706806285,0.2338568935427574,0.022048239573062234
16,567,0.4673721340388007,0.37037037037037035,0.24691358024691357,0.018007283292205502
17,546,0.4523809523809524,0.3443223443223443,0.21794871794871795,0.021929796756324813
18,529,0.43100189035916825,0.33081285444234404,0.22306238185255198,0.02248941952992066
19,506,0.45454545454545453,0.3438735177865613,0.2134387351778656,0.02223347587463926
20,468,0.4252136752136752,0.32905982905982906,0.202991452991453,0.029309772520158296
21,366,0.4098360655737705,0.3469945355191257,0.1994535519125683,0.02904598562482594
22,321,0.38317757009345793,0.2866043613707165,0.1806853582554517,0.0382440005884232
23,313,0.402555910543131,0.31309904153354634,0.20447284345047922,0.034944267568516374
24,288,0.3472222222222222,0.25,0.18055555555555555,0.04243381238610601
25,282,0.37943262411347517,0.30851063829787234,0.1773049645390071,0.03773483602651524
26,270,0.3962962962962963,0.32222222222222224,0.21851851851851853,0.03614230676392178
27,264,0.42045454545454547,0.29545454545454547,0.21212121212121213,0.04039361218386734
28,251,0.38645418326693226,0.2868525896414343,0.18725099601593626,0.037553822458820434
29,262,0.4083969465648855,0.31297709923664124,0.23282442748091603,0.029654254504864686
30,242,0.4214876033057851,0.34297520661157027,0.2768595041322314,0.025680449783350233
31,229,0.4279475982532751,0.3406113537117904,0.2838427947598253,0.03141545378412907
32,230,0.40869565217391307,0.30434782608695654,0.2782608695652174,0.0265261653932308
33,208,0.40384615384615385,0.34615384615384615,0.2932692307692308,0.03421860838443626
34,207,0.4057971014492754,0.36231884057971014,0.28019323671497587,0.03809183627818227
35,205,0.424390243902439,0.35609756097560974,0.24390243902439024,0.03439268510856596
36,200,0.435,0.33,0.26,0.039535169792122404
37,178,0.4606741573033708,0.3202247191011236,0.23595505617977527,0.03651852376457138
38,164,0.42073170731707316,0.3231707317073171,0.23170731707317074,0.03965578848449803
39,157,0.5222929936305732,0.35668789808917195,0.19745222929936307,0.03965182515684709
40,139,0.4748201438848921,0.2733812949640288,0.1510791366906475,0.04492233776349807
41,146,0.4931506849315068,0.3561643835616438,0.2328767123287671,0.038071915922202944
42,124,0.4274193548387097,0.3387096774193548,0.21774193548387097,0.04069863863791772
43,140,0.39285714285714285,0.34285714285714286,0.2,0.03594251277672928
44,132,0.3409090909090909,0.29545454545454547,0.22727272727272727,0.030656697722940822
45,117,0.39316239316239315,0.28205128205128205,0.24786324786324787,0.03689309548222271
46,120,0.4,0.3,0.225,0.04045968672818523
47,117,0.3418803418803419,0.3247863247863248,0.26495726495726496,0.05139028397933683
48,115,0.34782608695652173,0.2956521739130435,0.2782608695652174,0.05703391284646172
49,113,0.30973451327433627,0.2920353982300885,0.2920353982300885,0.06553192339417395
50,104,0.3173076923076923,0.33653846153846156,0.28846153846153844,0.06347967341735497
51,113,0.3893805309734513,0.35398230088495575,0.2831858407079646,0.05244910218802881
