timeframe,segment,n_1,win_rate_1,avg_short_ret_1,avg_short_ret_1_net_20bps,n_3,win_rate_3,avg_short_ret_3
daily,baseline_all,3960157,0.4841588351168905,0.0001914420314597,-0.0018085579685403,3958771,0.4873613553297223,-0.0007472921465139
daily,bull_streak_ge_7,17326,0.4847050675285698,3.086485694722494e-05,-0.0019691351430527753,17305,0.4914186651256862,-3.556679326508073e-05
daily,hanging_man_all,45363,0.4875559376584441,0.0004287718911052,-0.0015712281088948001,45349,0.5088315067586937,0.000850823620673
daily,hanging_pre_bull_ge_7,498,0.4236947791164658,-0.0018653477480795,-0.0038653477480795,498,0.4678714859437751,-0.0038933317735929
monthly,baseline_all,193957,0.4805859030609877,-0.0079340931098431,-0.0099340931098431,192571,0.471576717158866,-0.0260531982737137
monthly,bull_streak_ge_7,1987,0.4695520885757423,-0.0141770804527003,-0.0161770804527003,1892,0.452431289640592,-0.0361876257407985
monthly,hanging_man_all,2127,0.466854724964739,-0.0096061746833462,-0.0116061746833462,2118,0.483947119924457,-0.024391020592046
monthly,hanging_pre_bull_ge_7,99,0.5555555555555556,0.0039090462352592,0.0019090462352592003,96,0.4791666666666667,-0.005325724795936
weekly,baseline_all,842439,0.4939918498550043,-0.0008827464044977,-0.0028827464044977,841053,0.4837281360389892,-0.005080632987759
weekly,bull_streak_ge_7,4342,0.5103638876093965,0.0005811588362195,-0.0014188411637805001,4337,0.4906617477519022,-0.0063932723608151
weekly,hanging_man_all,7692,0.4876495059802392,-0.0019403143271187,-0.0039403143271187005,7682,0.4899765686019265,-0.0047159846518583
weekly,hanging_pre_bull_ge_7,156,0.4679487179487179,-0.0009680632833026,-0.0029680632833026,156,0.4807692307692308,-0.0010425148485216
