rule,n,hit10,lift,avg_ret20,win20
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.58,717,0.8842398884239888,4.881940121028593,0.059229156145951214,0.7391910739191074
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.60,711,0.8832630098452883,4.876546717282431,0.05857304981151716,0.7383966244725738
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.62,702,0.8831908831908832,4.876148501806579,0.05749694165316838,0.7364672364672364
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.50,719,0.8817802503477051,4.868360315406816,0.059026645046804695,0.7385257301808067
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.55,719,0.8817802503477051,4.868360315406816,0.059026645046804695,0.7385257301808067
cnt60>=60 & pdown>=0.62 & pturndown>=0.62,536,0.8302238805970149,4.583714583772741,0.015729628018153953,0.6884328358208955
cnt60>=60 & pdown>=0.62 & pturndown>=0.58,547,0.829981718464351,4.582377592480307,0.01639038617756737,0.6873857404021938
cnt60>=60 & pdown>=0.62 & pturndown>=0.60,543,0.8287292817679558,4.575462816255862,0.015752526234451097,0.6869244935543278
cnt60>=60 & pdown>=0.62 & pturndown>=0.50,550,0.8272727272727273,4.567421093730321,0.01639267952235591,0.6872727272727273
cnt60>=60 & pdown>=0.62 & pturndown>=0.55,550,0.8272727272727273,4.567421093730321,0.01639267952235591,0.6872727272727273
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.58,886,0.8216704288939052,4.536490476842757,0.047058205207775865,0.698645598194131
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.62,858,0.8205128205128205,4.530099253291273,0.04497683238019871,0.6934731934731935
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.55,890,0.8202247191011236,4.52850862855346,0.0470775906015126,0.698876404494382
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.60,878,0.8200455580865603,4.527519470117417,0.04645312033757178,0.6970387243735763
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.50,897,0.8193979933110368,4.523944227131911,0.04756700535372084,0.7001114827201784
pdown>=0.62 & pturndown>=0.62,8432,0.8175996204933587,4.514015305663735,0.038044014949567856,0.6621204933586338
pdown>=0.62 & pturndown>=0.60,8563,0.8170033866635525,4.510723463830595,0.038474962300274015,0.662851804274203
pdown>=0.62 & pturndown>=0.58,8654,0.8169632539865957,4.510501888974762,0.03901937259218751,0.6643170788074879
pdown>=0.62 & pturndown>=0.55,8728,0.8156507791017416,4.503255638401705,0.0393222538830932,0.6649862511457378
pdown>=0.62 & pturndown>=0.50,8749,0.8150645788090067,4.500019192313346,0.03936202859461992,0.6648759858269516
cnt60>=50 & pdown>=0.62 & pturndown>=0.58,777,0.8108108108108109,4.476533890498978,0.020484182116659762,0.6628056628056628
cnt60>=40 & pdown>=0.62 & pturndown>=0.58,1218,0.8103448275862069,4.473961169872254,0.02344851180384025,0.6379310344827587
cnt60>=40 & pdown>=0.62 & pturndown>=0.62,1184,0.8099662162162162,4.471870834363042,0.02162609202811682,0.6342905405405406
cnt60>=40 & pdown>=0.62 & pturndown>=0.60,1203,0.8096425602660017,4.470083910939379,0.022543395294512412,0.6350789692435578
cnt60>=40 & pdown>=0.62 & pturndown>=0.55,1223,0.8094848732624693,4.469213311773714,0.023565949385918966,0.6385936222403925
cnt60>=50 & pdown>=0.62 & pturndown>=0.60,771,0.8093385214007782,4.468405294588863,0.01965613586371841,0.6614785992217899
cnt60>=50 & pdown>=0.62 & pturndown>=0.62,760,0.8092105263157895,4.467698626241415,0.018725164980393838,0.6605263157894737
cnt60>=40 & pdown>=0.62 & pturndown>=0.50,1225,0.8089795918367347,4.46642362348098,0.02364989240392157,0.6383673469387755
cnt60>=50 & pdown>=0.62 & pturndown>=0.50,780,0.808974358974359,4.466394732541865,0.020470053849757742,0.6628205128205128
cnt60>=50 & pdown>=0.62 & pturndown>=0.55,780,0.808974358974359,4.466394732541865,0.020470053849757742,0.6628205128205128
pdown>=0.60 & pturndown>=0.62,9766,0.7741142740118779,4.273930165370927,0.031986661567421804,0.6454024165472045
pdown>=0.60 & pturndown>=0.58,10183,0.7721693017774722,4.263191859952071,0.033474492324009446,0.6484336639497201
pdown>=0.60 & pturndown>=0.60,9993,0.7720404282998099,4.262480341947316,0.032488031200002356,0.6459521665165616
pdown>=0.60 & pturndown>=0.55,10352,0.7709621329211747,4.256527010119386,0.03426583471636048,0.6507921174652241
cnt60>=60 & pdown>=0.60 & pturndown>=0.62,687,0.7700145560407569,4.251295382762566,0.013181652310596913,0.6622998544395924
pdown>=0.60 & pturndown>=0.50,10477,0.7694950844707454,4.248427349853655,0.03500533474597165,0.6525723012312685
cnt60>=60 & pdown>=0.60 & pturndown>=0.58,710,0.7676056338028169,4.237995582249384,0.01386957942373031,0.6633802816901408
cnt60>=60 & pdown>=0.60 & pturndown>=0.55,716,0.7667597765363129,4.233325554828014,0.014388205280940246,0.664804469273743
cnt60>=60 & pdown>=0.60 & pturndown>=0.60,703,0.7667140825035562,4.233073275401665,0.013172175378982428,0.662873399715505
cnt60>=60 & pdown>=0.60 & pturndown>=0.50,720,0.7666666666666667,4.232811489794034,0.014956744458052588,0.6652777777777777
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.62,1024,0.76171875,4.205493752597673,0.03478014123310123,0.654296875
cnt60>=40 & pdown>=0.60 & pturndown>=0.62,1435,0.7554006968641115,4.170611411849779,0.015961626202717835,0.6153310104529617
cnt60>=40 & pdown>=0.60 & pturndown>=0.58,1493,0.7548559946416611,4.1676040790336435,0.017832636560705415,0.6188881446751507
cnt60>=40 & pdown>=0.60 & pturndown>=0.55,1505,0.7548172757475083,4.167390309755328,0.01839358956443862,0.6205980066445183
cnt60>=40 & pdown>=0.60 & pturndown>=0.50,1516,0.7546174142480211,4.166286862731766,0.0189259470759217,0.6207124010554089
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.60,1071,0.7544351073762838,4.1652803358343435,0.03552396756983882,0.6554621848739496
