pattern,horizon_days,n,hit10_rate,hit5_rate,stop5_rate,avg_ret_close_based
R1_model_consensus,3,471813,0.08132883154978773,0.3273987787534468,0.21469522883006614,0.009766822445775059
R1_model_consensus,5,471813,0.1677359462329355,0.47526880353021217,0.29087795376558084,0.015023757314482357
R1_model_consensus,7,471813,0.24625222280861273,0.5712411485058699,0.34441823349504996,0.01818966947516026
R1_model_consensus,10,471813,0.3400520969112763,0.6560374555173342,0.4048341186020733,0.01935258189711194
R1_model_consensus,15,471813,0.43405120248912177,0.7199250550535912,0.48089815244599027,0.016578594082438433
R1_model_consensus,20,471813,0.4923221700122718,0.7549622413964855,0.5350552019550119,0.01372516089841445
R2_consensus_plus_extension,3,26391,0.10359592285248759,0.36800424387101666,0.3298094047213065,0.0009581342066950967
R2_consensus_plus_extension,5,26391,0.18578303209427457,0.4942594066158918,0.4190822628926528,0.0017186033438739965
R2_consensus_plus_extension,7,26391,0.2611117426395362,0.5747413891099238,0.47724603084384826,0.002432064757600491
R2_consensus_plus_extension,10,26391,0.3523928612026827,0.6527604107460877,0.537759084536395,0.0013795518011235077
R2_consensus_plus_extension,15,26391,0.45553408358910236,0.7229737410480845,0.6044105945208594,-0.0014452284308900624
R2_consensus_plus_extension,20,26391,0.5240801788488499,0.7660566102080255,0.6485923231404646,-0.0023952378425931764
R3_countertrend_upper_band,3,29489,0.09128827698463834,0.3325985960866764,0.3050629048119638,0.0007386365348810925
R3_countertrend_upper_band,5,29489,0.16813048933500627,0.4595272813591509,0.39665638034521344,0.0013843861981406966
R3_countertrend_upper_band,7,29489,0.24046254535589542,0.5451185187697107,0.45633965207365457,0.0021341489626602824
R3_countertrend_upper_band,10,29489,0.3294787887008715,0.6268439078978603,0.5182271355420666,0.001032566145071074
R3_countertrend_upper_band,15,29489,0.4322628776832039,0.7004306690630404,0.5854386381362542,-0.0015146071297894611
R3_countertrend_upper_band,20,29489,0.5073756315914408,0.7502458543863814,0.6291498524873682,0.00017247104916667255
R6_overheat_then_turn,3,61174,0.09101906038513094,0.36141171085755386,0.3407002975120149,-0.0006590899665072056
R6_overheat_then_turn,5,61174,0.16068918167849086,0.4787491417922647,0.432324190015366,-0.0019287279987157445
R6_overheat_then_turn,7,61174,0.22195704057279236,0.5511818746526302,0.4930035636054533,-0.003204178575380412
R6_overheat_then_turn,10,61174,0.2987543727727466,0.6205741001078889,0.556854219112695,-0.005829733703913966
R6_overheat_then_turn,15,61174,0.3940236047994246,0.6869912054140648,0.6299898649753163,-0.01038141216209867
R6_overheat_then_turn,20,61174,0.46026089515153495,0.7291659855494165,0.6770196488704352,-0.013713612462373247
baseline,3,3881258,0.027577656522704753,0.14885379946398822,0.16170865219472655,-0.0014209410977268132
baseline,5,3881258,0.055904812305700886,0.231630569263883,0.24836354604615307,-0.002321511116317562
baseline,7,3881258,0.08476040500270789,0.2949121135466903,0.31577854396693034,-0.0032077034388761916
baseline,10,3881258,0.12594370175855354,0.36639331886723325,0.39303622691405726,-0.00454092780586613
baseline,15,3881258,0.18629063051206593,0.4487789783621702,0.48183965095852943,-0.006785906838855967
baseline,20,3881258,0.23702830370977657,0.5045521323241073,0.5423257098600506,-0.009039868924358901
