regime,pdown_bin,n,pred_mean,actual_hit10,avg_ret20,calibration_gap
below_ma20,0.00-0.40,622804,0.32172884794482354,0.1523866256478764,-0.019823817467233523,-0.16934222229694715
below_ma20,0.40-0.50,543244,0.4504215864610401,0.21811561655536002,-0.010478539036554843,-0.23230596990568006
below_ma20,0.50-0.55,247226,0.5241708913219428,0.2963604151666896,-0.006300563113240136,-0.22781047615525324
below_ma20,0.55-0.60,175912,0.5728829537669559,0.36121469825822,-0.0026478360582100208,-0.21166825550873586
below_ma20,0.60-0.65,92329,0.6217523104010393,0.4614584800008665,0.00973694267514927,-0.1602938304001728
below_ma20,0.65-0.70,38271,0.6714201840536242,0.6009772412531682,0.035132408899831984,-0.07044294280045604
below_ma20,0.70-0.80,23874,0.7330965496936837,0.7168467789226773,0.05821132401777555,-0.01624977077100631
below_ma20,0.80+,6930,0.86215217646728,0.9090909090909091,0.1202206456454542,0.04693873262362902
countertrend_upper,0.00-0.40,20909,0.3597917045497598,0.11626572289444737,-0.019970264240980078,-0.24352598165531242
countertrend_upper,0.40-0.50,53611,0.4534841375564632,0.19378485758519706,-0.021093736836595097,-0.2596992799712662
countertrend_upper,0.50-0.55,32319,0.5249515657045113,0.29115999876233795,-0.02291200054607945,-0.23379156694217335
countertrend_upper,0.55-0.60,27220,0.5736204979318152,0.3961058045554739,-0.01742117397767116,-0.17751469337634135
countertrend_upper,0.60-0.65,14561,0.6208049466746535,0.5051850834420712,-0.004556027617389131,-0.11561986323258222
countertrend_upper,0.65-0.70,4012,0.6689466644957526,0.6258723828514456,0.03323670468193744,-0.04307428164430693
countertrend_upper,0.70-0.80,1173,0.7271558614406655,0.7638533674339301,0.08494901438184888,0.0366975059932646
extended_uptrend,0.00-0.40,73649,0.34260799321848884,0.10308354492253799,-0.015281560456464118,-0.23952444829595085
extended_uptrend,0.40-0.50,90432,0.44962387602583626,0.1886058032554848,-0.01607860365537932,-0.2610180727703515
extended_uptrend,0.50-0.55,40355,0.5241057864997644,0.2929005079915748,-0.012987234823562567,-0.23120527850818956
extended_uptrend,0.55-0.60,28252,0.5726656745096356,0.37455755344754355,-0.009808154139102607,-0.19810812106209202
extended_uptrend,0.60-0.65,13136,0.620893873694048,0.49383373934226554,0.0005628102290311284,-0.12706013435178248
extended_uptrend,0.65-0.70,4250,0.6697824613455816,0.6703529411764706,0.038484016307502526,0.0005704798308889814
extended_uptrend,0.70-0.80,1355,0.7242201816650182,0.7682656826568266,0.06041540148141097,0.04404550099180837
extended_uptrend,0.80+,97,0.8412009322322324,0.9587628865979382,0.12827156373949605,0.11756195436570582
other,0.00-0.40,462296,0.3381282419005956,0.09825090418260163,-0.01319861673435431,-0.23987733771799397
other,0.40-0.50,569541,0.4511189191461902,0.17580823856403666,-0.011577789370971196,-0.2753106805821535
other,0.50-0.55,286819,0.5246163394225343,0.26148895296336716,-0.00878327780884601,-0.2631273864591671
other,0.55-0.60,220804,0.5730749585425412,0.32820510497998223,-0.006377217559836838,-0.24486985356255897
other,0.60-0.65,117278,0.621649833920677,0.4049438087279797,0.0024116464510189482,-0.21670602519269727
other,0.65-0.70,44784,0.6707931033322477,0.508998749553412,0.02429680420551522,-0.16179435377883578
other,0.70-0.80,22102,0.7323628543795062,0.665098181160076,0.05947236783521859,-0.0672646732194302
other,0.80+,1687,0.8292674321133279,0.8411381149970362,0.09280197053999274,0.011870682883708294
