rule,n,hit10,lift,avg_ret20,win20
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.58,641,0.8876755070202809,4.914535489655886,0.059773881653412755,0.734789391575663
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.60,635,0.8866141732283465,4.908659510713602,0.05904439621917993,0.7338582677165354
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.62,626,0.8865814696485623,4.908478450289813,0.05784441888772327,0.731629392971246
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.50,643,0.8849144634525661,4.899249220636738,0.05954574023614796,0.7340590979782271
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.55,643,0.8849144634525661,4.899249220636738,0.05954574023614796,0.7340590979782271
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.58,755,0.8317880794701987,4.605119780933199,0.04330733384177062,0.6993377483443709
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.62,727,0.8308115543328748,4.599713337468256,0.0407064503695432,0.6932599724896836
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.55,759,0.8300395256916996,4.595439070434774,0.04334983250565694,0.6996047430830039
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.60,747,0.8299866131191432,4.595146124742772,0.042555966389337924,0.6974564926372155
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.50,766,0.8289817232375979,4.5895826424263255,0.04395701179991515,0.7010443864229765
cnt60>=50 & pdown>=0.62 & pturndown>=0.58,566,0.823321554770318,4.558245629531541,-0.007636095329153261,0.6395759717314488
cnt60>=50 & pdown>=0.62 & pturndown>=0.60,566,0.823321554770318,4.558245629531541,-0.007636095329153261,0.6395759717314488
cnt60>=50 & pdown>=0.62 & pturndown>=0.62,563,0.822380106571936,4.553033386379591,-0.00787964113528517,0.6376554174067496
cnt60>=40 & pdown>=0.62 & pturndown>=0.58,1035,0.8222222222222222,4.552159273898404,0.012811148295335667,0.6347826086956522
cnt60>=40 & pdown>=0.62 & pturndown>=0.62,1001,0.8221778221778222,4.551913457051797,0.010294249820065242,0.6303696303696303
cnt60>=50 & pdown>=0.62 & pturndown>=0.50,567,0.8218694885361552,4.550206395617024,-0.007701083925212521,0.6384479717813051
cnt60>=50 & pdown>=0.62 & pturndown>=0.55,567,0.8218694885361552,4.550206395617024,-0.007701083925212521,0.6384479717813051
cnt60>=40 & pdown>=0.62 & pturndown>=0.60,1020,0.8215686274509804,4.5485407053181985,0.011587211419503347,0.6313725490196078
cnt60>=40 & pdown>=0.62 & pturndown>=0.50,1041,0.8213256484149856,4.547195473771091,0.01313463192857396,0.6359269932756965
cnt60>=40 & pdown>=0.62 & pturndown>=0.55,1040,0.8211538461538461,4.546244306026915,0.013000391545744124,0.635576923076923
pdown>=0.62 & pturndown>=0.62,8434,0.8175243063789424,4.5261496859841035,0.037097328821430665,0.6618449134455774
pdown>=0.62 & pturndown>=0.60,8564,0.8170247547874825,4.52338396359374,0.037577092065812334,0.6626576366184026
pdown>=0.62 & pturndown>=0.58,8656,0.8170055452865065,4.52327761192183,0.03815832773241337,0.6641635859519408
pdown>=0.62 & pturndown>=0.55,8728,0.8157653528872594,4.516411398410362,0.038479445501640244,0.66487167736022
pdown>=0.62 & pturndown>=0.50,8745,0.8155517438536306,4.515228771235931,0.038585921180341196,0.6650657518582047
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.62,837,0.7897252090800478,4.372242487717009,0.02714083033680224,0.6654719235364397
cnt60>=40 & pdown>=0.60 & pturndown>=0.62,1113,0.7879604672057502,4.362472153284294,0.00029561467224873496,0.6172506738544474
cnt60>=40 & pdown>=0.60 & pturndown>=0.50,1191,0.7858942065491183,4.351032487271673,0.0051592878944709455,0.6246851385390428
cnt60>=40 & pdown>=0.60 & pturndown>=0.55,1181,0.785774767146486,4.350371221777178,0.004345932155335421,0.6240474174428451
cnt60>=40 & pdown>=0.60 & pturndown>=0.58,1170,0.7854700854700855,4.348684379119161,0.0033537761787480365,0.6213675213675214
cnt60>=40 & pdown>=0.60 & pturndown>=0.60,1148,0.7839721254355401,4.340391058312585,0.0016634394168836078,0.617595818815331
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.58,887,0.7835400225479143,4.337998759595741,0.029135023277205747,0.6708004509582863
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.60,872,0.783256880733945,4.3364311704459295,0.028319883044509365,0.6674311926605505
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.55,899,0.7797552836484983,4.317044893579207,0.02930994740591065,0.6696329254727474
cnt60>=50 & pdown>=0.60 & pturndown>=0.62,637,0.7755102040816326,4.293542392921275,-0.02158820269286026,0.6185243328100472
pdown>=0.60 & pturndown>=0.62,9730,0.7752312435765674,4.291997953211592,0.029866992327864786,0.6455292908530319
cnt60>=60 & pdown>=0.62 & pturndown>=0.50,62,0.7741935483870968,4.286252847262665,-0.1139571868623344,0.46774193548387094
cnt60>=60 & pdown>=0.62 & pturndown>=0.55,62,0.7741935483870968,4.286252847262665,-0.1139571868623344,0.46774193548387094
cnt60>=60 & pdown>=0.62 & pturndown>=0.58,62,0.7741935483870968,4.286252847262665,-0.1139571868623344,0.46774193548387094
cnt60>=60 & pdown>=0.62 & pturndown>=0.60,62,0.7741935483870968,4.286252847262665,-0.1139571868623344,0.46774193548387094
cnt60>=60 & pdown>=0.62 & pturndown>=0.62,62,0.7741935483870968,4.286252847262665,-0.1139571868623344,0.46774193548387094
pdown>=0.60 & pturndown>=0.58,10135,0.7740503206709423,4.285459879913024,0.031561118188760826,0.6489393191909225
pdown>=0.60 & pturndown>=0.60,9950,0.7736683417085427,4.283345087793417,0.03050296852772116,0.6463316582914573
pdown>=0.60 & pturndown>=0.55,10296,0.7731157731157731,4.280285841550664,0.03244370599238039,0.6513209013209014
