asof_date,code
2023-01-31,1001
2023-01-31,2002
2023-01-31,3003
2023-02-28,1001
2023-02-28,2002
2023-02-28,3003
2023-03-31,1001
2023-03-31,2002
2023-03-31,3003
2023-04-28,1001
2023-04-28,2002
2023-04-28,3003
2023-05-31,1001
2023-05-31,2002
2023-05-31,3003
2023-06-30,1001
2023-06-30,2002
2023-06-30,3003
2023-07-31,1001
2023-07-31,2002
2023-07-31,3003
2023-08-31,1001
2023-08-31,2002
2023-08-31,3003
2023-09-29,1001
2023-09-29,2002
2023-09-29,3003
2023-10-31,1001
2023-10-31,2002
2023-10-31,3003
2023-11-30,1001
2023-11-30,2002
2023-11-30,3003
2023-12-29,1001
2023-12-29,2002
2023-12-29,3003
2024-01-31,1001
2024-01-31,2002
2024-01-31,3003
2024-02-29,1001
2024-02-29,2002
2024-02-29,3003
2024-03-29,1001
2024-03-29,2002
2024-03-29,3003
2024-04-30,1001
2024-04-30,2002
2024-04-30,3003
2024-05-31,1001
2024-05-31,2002
2024-05-31,3003
2024-06-28,1001
2024-06-28,2002
2024-06-28,3003
